show_id,type,title,release_year,rating,duration,month,date,year
80038439,Movie,Eyyvah Eyyvah 3,2014,TV-PG,103,March,10,2017
81092491,Movie,Hikaru Utada Laughter in the Dark Tour 2018,2018,TV-PG,141,June,26,2019
80104420,Movie,Asperger's Are Us,2016,TV-14,83,December,11,2016
70113305,Movie,Dev.D,2009,TV-MA,137,October,1,2018
70291094,Movie,Monster High 13 Wishes,2013,TV-Y7,73,March,1,2018
80002621,Movie,Jim Jefferies : BARE,2014,NR,77,August,6,2019
80990221,Movie,Dovlatov,2018,PG-13,126,October,26,2018
70270364,Movie,Snowpiercer,2013,R,126,May,1,2019
80231601,Movie,The Darkest Dawn,2016,TV-MA,75,June,23,2018
80031666,Movie,Winter on Fire: Ukraine's Fight for Freedom,2015,NR,99,October,9,2015
80063773,Movie,The Trust,2015,R,91,April,1,2019
81005044,Movie,What the F* Is Going On?,2019,TV-MA,87,November,25,2019
70241757,Movie,The Place Beyond the Pines,2012,R,140,May,16,2017
81016323,Movie,Cahaya Dari Timur Beta Maluku,2014,TV-14,151,October,5,2018
81165770,Movie,The CEO,2016,TV-14,109,September,1,2019
70130483,Movie,Barbie in A Mermaid Tale,2010,TV-Y,74,October,1,2017
