,이름,선거구,선거구명
931,서맹종,서울,종로구
932,정진석,서울,중구
933,정호준,서울,중구
934,장준영,서울,중구
935,오정익,서울,중구
936,진영,서울,용산구
937,조순용,서울,용산구
938,이희정,서울,용산구
939,김태기,서울,성동구
940,최재천,서울,성동구
941,김동성,서울,성동구
942,홍익표,서울,성동구
943,서정민,서울,성동구
944,,서울,광진구
945,김한길,서울,광진구
946,김용,서울,광진구
947,정준길,서울,광진구
948,,서울,광진구
949,김홍준,서울,광진구
950,길기연,서울,광진구
951,허용범,서울,동대문구
952,안규백,서울,동대문구
953,윤지현,서울,동대문구
954,조광한,서울,동대문구
955,홍준표,서울,
956,민병두,서울,동대문구
957,정병걸,서울,동대문구
958,김재전,서울,동대문구
959,김정,서울,중랑구
960,서영교,서울,중랑구
961,강경환,서울,중랑구
962,유정현,서울,중랑구
963,이상수,서울,중랑구
964,강동호,서울,중랑구
965,박홍근,서울,중랑구
966,윤정호,서울,중랑구
967,김덕규,서울,
968,이경태,서울,중랑구
969,진성호,서울,중랑구
970,유승희,서울,성북구
971,강승규,서울,성북구
972,최덕찬,서울,성북구
973,정태근,서울,성북구
974,서찬교,서울,성북구
975,신계륜,서울,성북구
976,정양석,서울,강북구
977,오영식,서울,강북구
978,김일웅,서울,강북구
979,안홍렬,서울,강북구
980,유대운,서울,강북구
981,홍성남,서울,강북구
982,유경희,서울,도봉구
983,인재근,서울,도봉구
984,박춘엽,서울,도봉구
985,김선동,서울,도봉구
986,유인태,서울,도봉구
987,박영대,서울,도봉구
988,이노근,서울,노원구
989,김용민,서울,노원구
990,김철수,서울,노원구
991,우승배,서울,노원구
992,권영진,서울,노원구
993,우원식,서울,노원구
994,이기재,서울,
995,전영돈,서울,노원구
996,이선엽,서울,노원구
997,허준영,서울,노원구
998,노회찬,서울,노원구
999,주준희,서울,노원구
1000,,,
1001,,,
1002,,,
1003,,,
1004,,,
1005,,,
1006,,,
1007,,,
1008,,,
1009,,,
1010,,,
1011,,,
1012,,,
1013,,,
1014,,,
1015,,,
1016,,,
1017,,,
1018,,,
1019,,,
1020,,,
1021,,,
1022,,,
1023,,,
1024,,,
1025,,,
1026,,,
1027,,,
1028,,,
1029,,,
1030,,,
1031,,,
1032,,,
1033,,,
1034,,,
1035,,,
1036,,,
1037,,,
1038,,,
1039,,,
1040,,,
1041,,,
1042,,,
1043,,,
1044,,,
1045,,,
1046,,,
1047,,,
1048,,,
1049,,,
1050,,,
1051,,,
1052,,,
1053,,,
1054,,,
1055,,,
1056,,,
1057,,,
1058,,,
1059,,,
1060,,,
1061,,,
1062,,,
1063,,,
1064,,,
1065,,,
1066,,,
1067,,,
1068,,,
1069,,,
1070,,,
1071,,,
1072,,,
1073,,,
1074,,,
1075,,,
1076,,,
1077,,,
1078,,,
1079,,,
1080,,,
1081,,,
1082,,,
1083,,,
1084,,,
1085,,,
1086,,,
1087,,,
1088,,,
1089,,,
1090,,,
1091,,,
1092,,,
1093,,,
1094,,,
1095,,,
1096,,,
1097,,,
1098,,,
1099,,,
1100,인재근,서울,도봉구
1101,이성만,인천,부평구
1102,양한별,서울,강남구
1103,권칠승,경기,화성시
1104,한경노,광주,동구남구
1105,문학진,경기,하남시
1106,방경채,전북,남원시 임실군 순창군
1107,최형재,전북,전주시
1108,주영순,전남,영암군 무안군 신안군
1109,이호성,서울,구로구
1110,김우룡,부산,동래구
1111,유기준,부산,서구동구
1112,김진수,서울,중랑구
1113,이한수,전북,익산시
1114,조원진,대구,달서구
1115,김태용,대구,달서구
1116,김종희,경기,용인시
1117,임동순,서울,광진구
1118,이강후,강원,원주시
