이름,선거구명1,선거구명2,종류,회,기호,남여,정당,연령,직업,여당평가,당선여부,득표율,지역구분
곽상욱,경기,오산시,구시군의장선거,5,2,,rev,45,정당인,47.25,True,4.595119850134589,2
박신원,경기,오산시,구시군의장선거,5,3,남,con,64,정당인,47.25,False,0.267619625757748,2
이태섭,경기,화성시,구시군의장선거,5,1,남,con,67,정당인,47.25,False,,3
채인석,경기,화성시,구시군의장선거,5,2,남,rev,47,,47.25,True,4.595119850134589,3
박지영,경기,화성시,구시군의장선거,5,3,남,rev,36,정당인,47.25,False,-1.2308184881219797,3
최홍건,경기,시흥시,구시군의장선거,5,1,남,con,66,,47.25,False,,2
김윤식,경기,시흥시,구시군의장선거,5,2,남,rev,44,,47.25,True,4.595119850134589,2
부창렬,,군포시,구시군의장선거,5,1,남,con,52,,47.25,False,,2
김윤주,경기,군포시,구시군의장선거,5,2,남,rev,61,정당인,47.25,True,4.595119850134589,2
유희열,경기,군포시,구시군의장선거,5,3,남,con,50,정당인,47.25,False,-2.1138140642001275,2
송용순,경기,군포시,구시군의장선거,5,3,여,rev,52,정당인,47.25,False,-2.946758268957532,2
윤완채,경기,하남시,구시군의장선거,,1,남,con,48,정당인,47.25,False,,1
이교범,경기,하남시,,5,2,남,rev,58,정당인,47.25,True,4.595119850134589,1
박영길,경기,하남시,구시군의장선거,5,3,남,rem,68,,47.25,False,-2.8655279329060876,1
유병훈,경기,하남시,구시군의장선거,,3,,rem,55,,,False,-1.3495649469855433,1
류화선,경기,파주시,,5,1,남,con,62,,47.25,False,,3
이인재,,파주시,구시군의장선거,5,2,남,rev,49,정당인,47.25,True,4.595119850134589,3
황의만,경기,파주시,구시군의장선거,5,3,남,rem,64,,47.25,False,-0.2248496137516317,3
,경기,여주군,구시군의장선거,5,1,남,con,59,,47.25,True,,1
이희웅,경기,여주군,구시군의장선거,5,2,남,rev,61,정당인,,False,0.8359979929454094,1
원경희,경기,여주군,구시군의장선거,5,3,남,rem,54,,47.25,False,1.788303830053944,1
,경기,이천시,구시군의장선거,5,1,남,con,61,,47.25,True,,1
엄태준,경기,이천시,구시군의장선거,5,3,남,rev,46,,47.25,False,0.2777961397596338,1
오세동,경기,용인시,구시군의장선거,5,1,남,con,60,정당인,47.25,False,,3
김학규,경기,용인시,구시군의장선거,5,2,남,rev,62,정당인,47.25,True,4.595119850134589,3
서정석,경기,용인시,구시군의장선거,5,3,남,rem,60,,47.25,False,-1.1061962092635156,3
황은성,경기,안성시,구시군의장선거,5,1,남,,48,정당인,47.25,True,,1
이수형,경기,안성시,구시군의장선거,5,2,남,rev,47,정당인,47.25,False,1.6967453296491637,1
이학의,경기,안성시,구시군의장선거,5,3,남,rem,53,,47.25,False,-2.522521595631737,1
박석규,경기,안성시,구시군의장선거,5,3,남,rem,56,,47.25,False,-1.3393569045951832,1
