성명,선거구일,선거구이,여당평가,당선여부,득표수,학력,과목,경력지역,인지도,지역구분
김인영,경기,이천시,51.225,False,,,,,0.3281636044740149,
신재춘,경기,용인시 처인구,51.225,False,-0.1329086267768013,연세대,,True,0.004138664734026797,3
오세영,경기,용인시 처인구,51.225,True,,,행정,True,0.8788458555261222,3
조창희,경기,용인시 처인구,51.225,True,0.4087874041576535,,,True,0.08067775246859735,3
조성관,경기,용인시 처인구,51.225,False,,,행정,False,0.03633772727125364,3
오봉진,경기,용인시 수지구,51.225,False,-0.42048416389187976,연세대,행정,False,0.0027879155572492985,3
김치백,경기,용인시 수지구,51.225,True,,,,True,0.018072266456401784,3
임한수,경기,용인시 수지구,51.225,False,-2.0981012860683648,고려대,,True,0.04668101881866656,3
지미연,경기,용인시 수지구,51.225,True,0.2532794280649129,,,False,0.014998373287180162,3
김성혜,경기,용인시 수지구,51.225,False,,,,False,0.9174604258805024,3
박환신,경기,용인시 기흥구,51.225,False,-0.20371427461569255,,행정,False,7.240291377023323e-06,3
장전형,경기,용인시 기흥구,51.225,True,,연세대,행정,False,0.002726424731679959,3
권미나,경기,용인시 기흥구,51.225,True,-0.03042011932646118,,,True,0.27375814468219506,3
황재욱,경기,용인시 기흥구,51.225,False,,,행정,False,0.0773264796486281,3
문형호,경기,용인시 기흥구,51.225,False,-3.0069699592907164,,,True,0.0003014323007242098,3
김광열,경기,용인시 기흥구,51.225,False,-0.35762781162394525,,법,False,0.08271165798787787,3
남종섭,경기,용인시 기흥구,51.225,True,,,행정,True,0.016830492153294938,3
김영범,경기,용인시 기흥구,51.225,False,-3.1333327860016187,,,False,0.381351376691885,3
심노진,경기,용인시 기흥구,51.225,False,,,,True,5.2382593323010495e-05,3
김준연,경기,용인시 기흥구,51.225,True,,,,True,0.16493436891901467,3
천동현,경기,안성시,51.225,True,0.060647289586267326,,경제,True,0.0008197699233336798,1
양운석,경기,안성시,51.225,False,,,경영,False,0.00016169777620187372,1
한이석,경기,안성시,51.225,True,0.2453189189308819,,행정,True,0.0004130103964651773,1
허권만,경기,안성시,51.225,False,,,,False,,1
이상민,경기,안성시,51.225,False,-2.4503485890754173,,정치,False,0.9986055219039992,1
김종혁,경기,김포시,51.225,False,-0.06743400731887123,,행정,False,0.013598357149481077,3
조승현,경기,김포시,51.225,True,,연세대,행정,False,0.4058318646527663,3
조윤숙,경기,김포시,51.225,False,-0.2023639837304043,,,False,0.0016212837116561267,3
김준현,경기,김포시,51.225,True,,,,False,0.2864607149183701,3
김주한,경기,김포시,51.225,False,-2.936466896381061,,행정,False,,3
김시용,경기,김포시,51.225,True,0.03427038504712987,,,False,0.0005218473189988512,3
유승현,,김포시,51.225,False,,,정치,False,0.26425951964438793,3
박광서,경기,광주시,51.225,True,0.10535674163855216,,,True,0.6707148438420798,1
박관열,경기,광주시,51.225,False,,고려대,,True,0.16437517448311384,1
장동길,경기,광주시,51.225,True,,,경영,False,0.010862046364837756,1
박덕동,경기,광주시,51.225,False,,,,True,0.1540479353099686,1
최춘식,경기,포천시,51.225,True,0.23455191927481125,,경제,,0.3519207337086865,1
신동문,경기,포천시,51.225,False,,,경제,False,0.027155827220526646,1
윤영창,경기,포천시,51.225,True,0.5682704970122046,,,True,0.01281090111780779,1
장승호,경기,포천시,51.225,False,-0.7016531490043015,,,False,0.6081125379529791,1
김광철,경기,연천군,51.225,True,0.5218050150932602,,경영,True,0.9614707580904986,1
박찬흥,경기,연천군,51.225,False,-0.6193598722803559,,,False,0.03852924190950127,1
김금분,강원,춘천시,51.225,True,0.16519015122510328,,,True,0.0004151229808297769,1
김홍영,강원,춘천시,51.225,False,,,,False,0.1324152436675554,1
최성현,강원,춘천시,51.225,True,0.04588635224735325,,경영,False,0.09457605901305484,1
이학년,강원,춘천시,51.225,False,,,행정,True,0.001143116421822866,1
안상훈,강원,춘천시,51.225,True,0.07148530646071047,,,,0.2799648515078076,1
원태경,강원,춘천시,51.225,False,,,행정,True,0.002840997695546612,1
임미선,강원,춘천시,51.225,,-0.05129329438755046,,법,False,0.09669617832534806,1
정재웅,강원,,51.225,True,,,경제,True,0.3919484303880349,1
박길선,강원,원주시,51.225,True,0.07352726047526073,연세대,법,False,0.0004795709781358778,3
김미영,강원,원주시,51.225,False,,연세대,,True,0.062032983825057036,3
김기홍,강원,원주시,51.225,True,0.37134979748051306,연세대,행정,True,,3
홍석진,강원,원주시,51.225,False,,,경영,False,0.004621001019739111,3
이문희,강원,원주시,51.225,True,0.22310987504419025,,,,0.21152499176612605,3
김현,강원,원주시,51.225,False,,,법,,0.3903135891977552,3
이건수,강원,원주시,51.225,False,-2.9158594956027857,,법,True,0.011357540801583509,3
윤용호,강원,원주시,51.225,False,-0.2417405262030659,연세대,경제,False,0.007162275202660119,3
구자열,강원,원주시,,True,,연세대,정치,True,0.04026723201707533,3
원강수,강원,원주시,51.225,True,0.05520198354955623,,법,False,0.00038442747706052033,3
곽도영,강원,원주시,51.225,,,연세대,경제,True,0.004092662238015547,3
최성재,강원,원주시,51.225,True,-0.03100783264935134,,,False,0.20250424900164646,3
이기하,강원,원주시,51.225,False,,,,False,0.005391031581862442,3
강희숙,강원,원주시,51.225,False,-2.6078003047301714,연세대,,False,0.006488827983571005,3
정함철,강원,원주시,51.225,False,-3.6078971225574654,,,True,0.001198314267399034,3
이숙자,강원,강릉시,51.225,False,-0.2053054734733736,,,True,0.30353954903236285,1
,강원,강릉시,51.225,True,0.04101172126913339,,경제,False,0.35314223994911265,1
오세봉,강원,강릉시,51.225,True,0.20214409415582998,,,True,0.01022608257540115,1
김미희,,강릉시,51.225,False,,연세대,행정,False,0.24606167411491445,1
김용래,강원,강릉시,51.225,True,0.4272900522138897,,경영,False,0.04226519886626691,1
김동자,강원,강릉시,51.225,False,-0.6291073253154023,,경영,True,0.02942247292480151,1
권혁열,강원,강릉시,51.225,True,0.291389722822214,,,True,0.007203207558110305,1
위호진,강원,강릉시,51.225,False,-0.4943082239296238,,경제,False,0.008139574979030378,1
김규태,강원,동해시,51.225,True,-0.474751857584434,,,True,0.1837494605432116,1
안승호,강원,동해시,51.225,False,,,,False,0.06985286743354514,1
홍순만,강원,동해시,51.225,False,-2.0684221464302253,,,False,0.0578152109303347,1
심상화,강원,동해시,51.225,False,-1.2659530243535373,,,False,0.012834038507416509,1
김한수,강원,동해시,51.225,False,-0.3634413167182223,,,False,0.6718468260141569,1
오원일,강원,동해시,51.225,True,-0.29951123734324275,,,True,0.002981538244339841,1
강양희,강원,동해시,51.225,False,-1.902710701228036,,행정,False,0.0009200583269951902,1
김연동,강원,삼척시,51.225,True,-0.1732485700712149,,,False,0.06326597951755876,1
이붕희,,삼척시,51.225,False,-0.9905116087977324,,,True,0.0001026875252475817,1
김상용,강원,삼척시,51.225,False,-1.1983355838408902,,경영,True,0.9366313329571936,1
임남규,강원,태백시,51.225,True,,,경영,True,0.6173506495660745,1
권정기,강원,태백시,51.225,False,,,,False,0.0016946548051657267,1
홍성욱,강원,태백시,51.225,True,-0.6507991903577959,,경영,False,0.3791717582598144,1
허신학,강원,태백시,51.225,False,,,,False,0.0006304626666943923,1
손석암,강원,태백시,51.225,False,-0.9165827818584992,,,True,0.0011524747022510914,1
김기철,강원,정선군,51.225,True,-0.5286408679755779,,,False,0.0042570459789997225,1
김동식,강원,정선군,51.225,False,,,,False,0.018523978497639357,1
김경수,강원,정선군,51.225,False,-2.9415320003751315,,,False,0.9769039137488426,1
임창준,강원,정선군,51.225,False,,,,False,4.60242168365137e-05,1
남경문,강원,정선군,51.225,True,-0.15912472908948525,,,True,3.5769669579852395e-05,1
,강원,정선군,51.225,False,,,,False,0.00020939501735423556,1
심영규,강원,정선군,51.225,False,-2.00060571584144,,,True,2.387287074779107e-05,1
김성근,강원,속초시,51.225,True,0.20723399841206416,,행정,True,0.7251212918569121,1
김병욱,강원,속초시,51.225,False,,,행정,False,0.2387811315496695,1
김시성,강원,속초시,51.225,True,0.3602124461714247,,경영,True,0.0015107631822068573,1
김원일,강원,속초시,51.225,False,,,,False,0.03458681341121171,1
김용복,강원,고성군,51.225,True,-0.3432892858968364,,,False,0.007356022248660374,
우성,강원,고성군,51.225,False,,,,False,0.13812304096008998,1
김성진,강원,고성군,51.225,False,-2.283175849417192,,,False,0.15585363233040725,1
김세영,강원,고성군,51.225,False,-1.5327376302489435,,,True,0.5811311828247858,1
박명재,강원,고성군,51.225,False,-1.9615593577074053,,,False,0.11753612163605663,1
장석삼,강원,양양군,51.225,True,-0.03807595476901491,,,True,0.038295289135704534,1
김양수,강원,양양군,51.225,False,,,,True,0.7107434786760035,1
최동일,강원,양양군,51.225,False,-2.504894239629792,,,False,0.05595641596364497,1
이성기,강원,양양군,51.225,False,-2.051785332763615,,,False,0.1950048162246469,1
남평우,강원,인제군,51.225,True,0.1517456422387612,,,False,0.6749416018166399,1
정광수,강원,인제군,51.225,False,,,경영,False,0.3250583981833602,1
신영재,강원,홍천군,51.225,True,0.2832428734405146,,행정,False,,1
조성녀,강원,홍천군,51.225,False,,,,False,0.000172031436498205,1
신도현,강원,홍천군,51.225,True,-0.02105570614484532,,,False,0.7031383153531131,1
허준영,강원,홍천군,51.225,False,,,정치,True,0.10130138667840513,1
이정근,강원,홍천군,51.225,False,,,,False,0.18145161543774208,1
진기엽,강원,횡성군,51.225,True,0.2112373864620361,,,True,0.06377854537365492,1
이관형,강원,횡성군,51.225,False,,,행정,True,0.7473339027945752,1
백기운,강원,횡성군,51.225,False,-2.4990767044386306,,,False,0.012515983063983748,1
함종국,강원,횡성군,51.225,True,0.6972264019543498,,,True,0.050814343024818937,1
변기섭,강원,횡성군,51.225,False,,,,False,0.12555722574296704,1
최명서,강원,영월군,51.225,True,0.444787757787269,,행정,True,0.4952281619928556,1
유영돈,강원,영월군,51.225,False,,,법,False,0.05617008357002763,1
권석주,강원,영월군,51.225,True,-0.05919744595474283,,,False,0.014614133813760873,1
김우삼,강원,영월군,51.225,False,,,,False,0.007520826219386449,1
박연호,강원,영월군,51.225,False,-1.6158583055645188,연세대,경영,False,0.4264502049252349,1
엄재능,강원,영월군,51.225,False,-2.302187003816814,,,True,1.6589478734523672e-05,1
박현창,강원,평창군,51.225,True,0.4948245445861457,,,False,0.27216576775575857,1
설영호,강원,평창군,51.225,False,,연세대,행정,False,0.08425605415409873,1
곽영승,강원,평창군,51.225,True,0.2884819546170633,,행정,True,0.26697672413668866,1
최성동,강원,평창군,51.225,False,,,행정,False,0.37660145395345396,1
장세국,강원,화천군,51.225,,-0.3082052932427386,,,True,0.00023297379581213183,1
김수철,,화천군,51.225,False,,,행정,False,0.9994651664491229,1
주재곤,강원,화천군,51.225,False,-1.534279896034314,,,False,0.0003018597550649232,1
이기찬,강원,양구군,51.225,True,0.2962658161431723,연세대,행정,True,0.9840130350846236,1
한명희,강원,양구군,51.225,False,,연세대,,True,0.01598696491537629,1
김동일,강원,철원군,51.225,True,0.9962046482538052,,,True,0.061483484034978116,1
함재묵,강원,,51.225,False,,,정치,True,8.790206687197082e-07,1
정만식,강원,철원군,51.225,False,-0.15924371073013924,,,False,0.9367093519837024,1
한금석,강원,철원군,51.225,True,,,,True,0.0018062849606509503,1
박종규,충북,청주시 상당구,51.225,True,0.16947025328000365,,,False,0.1039437820165301,1
김창수,충북,청주시 상당구,51.225,False,,,,True,0.6803125518514663,1
김양희,충북,청주시 상당구,51.225,True,-0.005476868711674817,고려대,,False,0.1122337329797163,1
정우철,충북,청주시 상당구,51.225,False,,,경영,False,0.0630894368442547,1
정지숙,충북,청주시 상당구,51.225,False,-2.490252956568592,,,False,0.007461124415587909,1
김법기,충북,청주시 상당구,51.225,False,-0.34744988668067506,,,True,7.262295770364742e-05,1
장선배,충북,청주시 상당구,51.225,True,,,행정,False,0.004441785830339213,1
윤남용,,청주시 상당구,51.225,False,-3.3999523940236025,,정치,True,1.5911435783407536e-05,
김홍배,충북,청주시 상당구,51.225,False,-2.5935266600923748,,경영,True,0.028429051668618224,1
최광옥,충북,청주시 흥덕구,51.225,True,0.009765809769472942,,,False,0.000472056298588593,1
허창원,충북,청주시 흥덕구,51.225,False,,,경영,False,0.00047092555397139883,1
신석준,충북,청주시 흥덕구,51.225,False,-3.163972289468118,,경제,False,1.0927831258901604e-05,1
유상용,충북,청주시 흥덕구,51.225,False,-0.4354270746811801,,,True,,1
이광희,충북,청주시 흥덕구,51.225,True,,,,False,0.01723463195492206,1
장순경,충북,청주시 흥덕구,51.225,False,-0.27820332849723706,,법,True,1.6179102973201274e-05,1
김영주,충북,청주시 흥덕구,51.225,True,,,,True,0.17343518311255585,1
박상필,충북,청주시 흥덕구,51.225,False,-0.2771514676384356,,,True,0.001904942191507356,1
임헌경,충북,청주시 흥덕구,51.225,True,,,경영,False,,1
양인철,충북,청주시 흥덕구,51.225,False,-3.225448023677044,,,True,0.00016444319082337732,1
박봉순,충북,청주시 흥덕구,51.225,,-0.14766530755912588,,,False,,1
유한복,충북,청주시 흥덕구,51.225,False,,,,False,1.992565322513124e-05,1
이명주,충북,청주시 흥덕구,51.225,False,-3.2250460502269576,,,,0.04551459367413943,1
김우택,충북,청주시 흥덕구,,False,-2.7022245518420163,,,False,0.009943151235573482,1
김태훈,충북,청주시 흥덕구,51.225,False,-0.21453542527670602,,,False,0.7452354396683004,1
연철흠,충북,청주시 흥덕구,51.225,True,,,,False,0.001269273387421755,1
장형원,,청주시 흥덕구,51.225,False,-2.971893051662882,,법,True,,1
김학철,충북,충주시,51.225,True,0.08167441132096351,고려대,정치,True,0.902655151396081,1
김동환,충북,충주시,51.225,False,,,행정,False,0.08420907780345012,1
이언구,충북,충주시,51.225,True,0.21078508719468128,,행정,True,0.003459981127944423,1
윤성옥,충북,충주시,51.225,False,,,,False,0.0005411460414155905,1
임순묵,충북,충주시,51.225,True,-0.03975445118912903,,,False,0.0006468952699684918,1
심기보,충북,충주시,51.225,,,,행정,False,0.002307795702520256,1
김창영,충북,충주시,51.225,False,-2.243348396452459,,,False,,1
윤홍창,충북,제천시,51.225,True,,연세대,행정,True,0.000710728842273373,1
권기수,충북,제천시,51.225,False,,,,False,0.0028540113423508647,1
강현삼,충북,제천시,51.225,True,0.3250273664351496,,,False,0.002105776768954268,1
김호영,충북,제천시,51.225,False,,연세대,경영,False,0.9943294830464215,1
